City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
531,Pasaquina,SV,80.6,few clouds,13.58,-87.84,Hotel San Carlos
532,Cervo,ES,69.01,overcast clouds,43.67,-7.41,Hotel Spa Galatea
535,Tiruchchendur,IN,78.8,haze,8.48,78.12,Hotel Udhayam International
537,Dong Hoi,VN,76.48,light rain,17.48,106.6,Nam Long Hotel
540,Swan Hill,AU,78.04,clear sky,-35.34,143.55,Lazy River Motor Inn
541,Tiznit,MA,68.9,clear sky,29.58,-9.5,
547,Alta Floresta,BR,70.57,light rain,-9.88,-56.09,Floresta Amazonica Hotel
548,Rio Chiquito,HN,80.6,broken clouds,15.63,-88.25,Iglesia católica Tegucigalpita
549,Comodoro Rivadavia,AR,66.2,clear sky,-45.87,-67.5,Austral Hotel
551,Ouegoa,NC,83.48,few clouds,-20.35,164.43,
552,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
558,San Cristobal,VE,66.78,light rain,7.77,-72.22,Pirineos
563,Presidente Epitacio,BR,71.06,scattered clouds,-21.76,-52.12,Hotel Itaverá
564,Abu Dhabi,AE,75.2,haze,24.47,54.37,Beach Rotana
566,Hong Gai,VN,77.0,mist,20.96,107.09,Hạ Long DC Hotel
568,Poum,NC,78.98,clear sky,-20.23,164.02,Gîte kajeon
569,Warah,PK,66.24,clear sky,27.45,67.8,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
573,Payakumbuh,ID,75.69,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
574,Ducheng,CN,72.73,overcast clouds,23.24,111.53,Xinyongguang Hotel
576,Guatire,VE,72.0,light rain,10.48,-66.54,Parque Residencial Canaima I
581,Victor Harbor,AU,75.99,few clouds,-35.57,138.62,Apollon Motor Inn
585,Ambilobe,MG,72.19,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
586,Ahipara,NZ,71.35,light rain,-35.17,173.17,Ahipara Holiday Park
587,Matara,LK,77.41,overcast clouds,5.95,80.54,Amaloh Boutique Resort
589,Tucson,US,84.2,clear sky,32.22,-110.93,DoubleTree by Hilton Hotel Tucson - Reid Park
590,Inhambupe,BR,73.02,moderate rain,-11.78,-38.35,Hotel JVS
591,Arlit,NE,71.17,clear sky,18.74,7.39,Hôtel Telwa Bungalow
593,Jacmel,HT,82.4,overcast clouds,18.23,-72.53,Hotel Florita
595,Kirakira,SB,80.98,heavy intensity rain,-10.45,161.92,SanBiz Lodge
597,Nacala,MZ,73.45,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
599,Sarangani,PH,84.09,overcast clouds,5.4,125.46,Ballistic Islet
604,Langsa,ID,79.7,overcast clouds,4.47,97.97,OYO 2964 Hotel Ridho
605,San Felipe,VE,74.55,light rain,10.34,-68.74,Posada Llovizna Rodríguez
606,Sokoni,TZ,71.6,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
608,Sao Joao Da Barra,BR,68.04,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
609,Ojinaga,MX,73.4,clear sky,29.57,-104.42,Suites Las Palmas
610,Bandrele,YT,71.6,clear sky,-12.91,45.19,Les Baobabs
611,Gamba,GA,75.96,overcast clouds,-2.65,10.0,
612,Benguela,AO,76.66,clear sky,-12.58,13.41,Hotel Praia Morena
614,Rosario,AR,68.0,clear sky,-32.95,-60.64,Holiday Inn Rosario
615,Aitape,PG,87.17,light rain,-3.14,142.35,
618,Mocuba,MZ,68.83,broken clouds,-16.84,36.99,Phama Lodge
619,Jhanjharpur,IN,72.39,clear sky,26.27,86.28,Krishna Sweets
622,Charters Towers,AU,91.08,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
623,Macas,EC,67.1,overcast clouds,-2.32,-78.12,Casa Upano - Guesthouse & Sanctuary
627,Port Augusta,AU,86.0,scattered clouds,-32.5,137.77,Majestic Oasis Apartments
628,Flinders,AU,71.01,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
632,Darnah,LY,69.53,broken clouds,32.77,22.64,زاوية الرفاعي
637,Nicoya,CR,78.8,broken clouds,10.15,-85.45,Guayacan Real
639,Sidrolandia,BR,69.8,clear sky,-20.93,-54.96,hotel cisne azul
640,Tura,IN,70.32,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
641,San Policarpo,PH,84.72,light rain,12.18,125.51,Zal-Ann Beach Resort
644,Monteiro,BR,73.17,scattered clouds,-7.89,-37.12,Pousada Nunes
646,Carutapera,BR,77.99,scattered clouds,-1.2,-46.02,Lidera
648,Atar,MR,80.42,overcast clouds,20.52,-13.05,Oumou Elghoura
649,Soe,ID,84.22,few clouds,-9.86,124.28,Dena Hotel
654,Santa Rosa,PH,84.0,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
655,Latung,PH,83.21,overcast clouds,5.5,120.88,
656,Sibolga,ID,80.01,light rain,1.74,98.78,Hotel Syariah CN Darussalam
660,Akyab,MM,78.62,overcast clouds,20.15,92.9,Hotel Memory
661,Nago,JP,80.6,few clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
662,Harper,LR,77.07,light rain,4.38,-7.72,Screensaver
664,Gushikawa,JP,80.6,few clouds,26.35,127.87,Kirari Guest House
665,Mayor Pablo Lagerenza,PY,72.05,clear sky,-19.93,-60.77,
667,Beloha,MG,66.38,clear sky,-25.17,45.05,
668,Inyonga,TZ,67.57,scattered clouds,-6.72,32.07,Eden Rock Lodge
670,Senanga,ZM,71.26,clear sky,-16.12,23.27,Christopher Nasilele House
673,Clearwater,US,77.0,clear sky,27.97,-82.8,Shephard's Beach Resort
684,Moron,AR,68.0,clear sky,-34.65,-58.62,Hotel Morón
685,Sur,OM,69.85,clear sky,22.57,59.53,Sur Plaza Hotel
686,Port Moresby,PG,84.72,overcast clouds,-9.44,147.18,Lamana Hotel
687,Gandai,IN,72.21,clear sky,21.67,81.1,Agrasen Bhawan Gandai
688,Inhambane,MZ,71.02,overcast clouds,-23.86,35.38,Oceano
689,Amapa,BR,76.69,overcast clouds,1.0,-52.0,
690,Palakkad,IN,75.2,mist,10.78,76.65,Hotel Gazala family restaurant Palakkad
691,Mount Isa,AU,93.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
692,Tadine,NC,79.34,scattered clouds,-21.55,167.88,
695,Agustin Codazzi,CO,74.41,overcast clouds,10.03,-73.24,MOTEL LA GRANJA
