City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Makakilo City,US,21.35,-158.09,82.4,65,20,9.17,few clouds
83,Druzhba,UA,52.04,33.95,46.6,89,92,4.61,overcast clouds
84,Bardiyah,LY,31.76,25.09,67.91,60,8,6.6,clear sky
85,Nikolskoye,RU,59.7,30.79,35.6,100,90,6.71,overcast clouds
86,Dikson,RU,73.51,80.55,18.09,98,97,8.3,overcast clouds
87,Vicente Guerrero,MX,19.12,-98.17,54.93,67,14,14.36,few clouds
88,Hobart,AU,-42.88,147.33,73.99,52,0,8.05,clear sky
89,Solnechnyy,RU,50.72,136.63,36.0,81,4,5.46,clear sky
90,Lompoc,US,34.64,-120.46,72.0,68,1,4.7,clear sky
91,Bereda,ES,43.27,-7.54,66.0,100,100,11.99,overcast clouds
92,Husavik,IS,66.04,-17.34,39.2,51,0,5.82,clear sky
93,New Norfolk,AU,-42.78,147.06,75.0,32,99,1.99,overcast clouds
94,Baruun-Urt,MN,46.68,113.28,17.31,77,0,10.96,clear sky
95,Pisco,PE,-13.7,-76.22,64.4,82,90,14.99,overcast clouds
96,Navashino,RU,55.53,42.2,41.11,92,100,6.64,overcast clouds
97,Thaba-Tseka,LS,-29.52,28.61,42.6,87,74,2.64,broken clouds
98,Atuona,PF,-9.8,-139.03,77.68,77,85,13.87,light rain
99,Padang,ID,-0.95,100.35,81.37,68,99,1.83,moderate rain
100,Iqaluit,CA,63.75,-68.51,15.8,72,90,3.04,light snow
101,Buchanan,LR,5.88,-10.05,77.58,89,59,5.66,broken clouds
102,Bara,NG,10.37,10.73,75.24,29,2,6.87,clear sky
103,Klaksvik,FO,62.23,-6.59,44.6,87,3,11.41,clear sky
104,Chokurdakh,RU,70.63,147.92,-0.53,93,100,11.34,light snow
105,Tezu,IN,27.92,96.17,72.77,71,84,1.05,broken clouds
106,Dunedin,NZ,-45.87,170.5,55.0,66,52,14.0,broken clouds
107,Thompson,CA,55.74,-97.86,21.2,100,75,3.36,broken clouds
108,Kharp,RU,66.8,65.81,23.86,95,26,8.32,scattered clouds
109,Bethel,US,41.37,-73.41,48.2,81,90,11.41,overcast clouds
110,Havelock,US,34.88,-76.9,61.0,82,1,12.75,clear sky
111,Carballo,ES,43.21,-8.69,66.99,81,62,8.99,broken clouds
112,Khatanga,RU,71.97,102.5,5.68,95,100,6.51,overcast clouds
113,Riom,FR,45.92,2.92,62.01,63,90,11.41,overcast clouds
114,Poso,ID,-1.4,120.75,89.01,58,100,0.87,overcast clouds
115,Richards Bay,ZA,-28.78,32.04,63.79,94,100,6.35,moderate rain
116,Hilo,US,19.73,-155.09,84.2,66,1,5.82,clear sky
117,Bluff,NZ,-46.6,168.33,55.0,68,53,13.0,broken clouds
118,Bogorodskoye,RU,56.55,37.88,38.77,91,100,8.1,overcast clouds
119,Hualmay,PE,-11.1,-77.61,61.18,86,55,7.99,broken clouds
120,Evensk,RU,61.95,159.23,23.67,91,100,4.81,overcast clouds
121,Siruguppa,IN,15.63,76.9,69.22,80,0,3.06,clear sky
122,Bima,ID,-8.47,118.72,88.79,55,3,2.91,clear sky
123,Kavieng,PG,-2.57,150.8,87.03,63,7,3.44,clear sky
124,Athens,GR,37.98,23.72,59.0,81,0,4.36,clear sky
125,Margate,GB,51.38,1.39,63.0,86,100,8.99,light rain
126,Butaritari,KI,3.07,172.79,82.2,76,76,9.57,broken clouds
